City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
571,ewa beach,21.3156,-158.0072,26.97,56,20,4.63,US,1675908484
572,raahe,64.6833,24.4833,3.05,82,100,14.26,FI,1675908485
573,grindavik,63.8424,-22.4338,-4.74,93,75,10.8,IS,1675908485
574,kahului,20.8947,-156.47,25.54,62,40,8.23,US,1675908252
575,neuquen,-38.9516,-68.0591,29.58,25,0,3.51,AR,1675908486
576,port hedland,-20.3167,118.5667,33.03,62,40,3.6,AU,1675908486
577,port hawkesbury,45.6169,-61.3485,0.33,96,100,2.57,CA,1675908487
578,deloraine,-41.5333,146.6667,19.44,35,73,1.55,AU,1675908488
579,birjand,32.8663,59.2211,3.27,67,8,3.54,IR,1675908489
580,illkirch-graffenstaden,48.5289,7.7152,-1.71,86,0,3.09,FR,1675908490
581,egvekinot,66.3167,-179.1667,-25.17,95,100,1.49,RU,1675908491
582,yangambi,0.8102,24.4336,19.94,84,70,1.26,CD,1675908491
583,vao,-22.6667,167.4833,26.22,81,100,6.15,NC,1675908492
584,siocon,7.7061,122.1353,28.14,70,100,2.8,PH,1675908492
585,verkhnyaya toyma,62.2349,44.9985,-14.91,100,96,1.39,RU,1675908493
586,mustasaari,63.1142,21.6822,2.97,81,100,10.8,FI,1675908493
587,banda aceh,5.5577,95.3222,26.65,76,98,3.69,ID,1675908494
588,kihei,20.785,-156.4656,25.54,65,40,8.23,US,1675908494
589,shepetivka,50.1855,27.0637,-9.94,94,17,2.03,UA,1675908495
590,sioux lookout,50.1001,-91.917,-0.96,69,75,3.09,CA,1675908389
591,oda,35.1833,132.5,7.32,56,63,4.7,JP,1675908497
592,umm lajj,25.0213,37.2685,17.16,44,100,7.03,SA,1675908498
593,fairbanks,64.8378,-147.7164,-12.65,84,100,0.0,US,1675908300
594,salvacion,7.9833,126.1333,24.41,94,99,1.29,PH,1675908499
595,siniscola,40.5719,9.6922,1.75,72,95,2.92,IT,1675908499
596,polson,47.6936,-114.1632,-0.29,89,50,1.37,US,1675908500
597,slave lake,55.2834,-114.769,-3.01,74,20,1.03,CA,1675908345
598,kanigoro,-8.13,112.219,27.69,74,98,1.96,ID,1675908501
599,buncrana,55.1333,-7.45,4.69,77,69,6.13,IE,1675908502
600,victor harbor,-35.5667,138.6167,33.71,74,0,2.79,AU,1675908502
601,alofi,-19.0595,-169.9187,29.94,74,75,4.12,NU,1675908503
602,colesberg,-30.72,25.0972,15.62,76,77,4.85,ZA,1675908503
603,vilhena,-12.7406,-60.1458,20.99,94,100,0.39,BR,1675908504
604,jibuti,11.5,42.5,19.95,73,3,2.45,DJ,1675908505
605,nioro,13.35,-15.75,24.59,19,0,0.98,GM,1675908505
